cod_gl_res144_indec,provincia,departamento,nombre_del_gobierno_local,categoria_de_gobierno,gobierno_local_con_paso_o_centro_fronterizo,gobierno_local_que_pertenece_a_un_aglomerado_urbano,poblacion_censo_2010,localidades_administradas_por_el_gobierno_local,distancia_a_la_capital_provincial,distancia_a_la_capital_alterna,perfil_economico_de_la_region,cantidad_de_parques_industriales_renpi,incendios_reportados_en_el_periodo_1999-2022,inundaciones_reportadas_en_el_periodo_1999-2022,fiestas_locales,sitio_web,direccion_postal_de_la_sede_de_gobierno,telefonos_sede_de_gobierno,apellido_y_nombre_de_la_maxima_autoridad.,latitud,longitud
60007,Buenos Aires,Adolfo Alsina,Adolfo Alsina,Municipio,No,No,  17.072 ,Carhué -  Colonia San Miguel Arcángel -  Delfín Huergo -  Espartillar -  Esteban Agustín Gascón -  La Pala -  Leubucó -  Maza -  Rivera -  Villa Margarita -  Yutuyaco        ,"493,4 KM","469,7 KM",Industrial - Primario,1,0,0,Fiesta Provincial del Turismo Termal (Febrero) - Aniversario de la Creación del Distrito de Adolfo Alsina (Julio) - Vuelta al Lago Epecuén (Noviembre) - Fiesta de las Colectividades (Octubre) - La Fortinera Gran Encuentro de Peñas (Noviembre) - Festival de la Cerveza Artesanal 1/2 Pinta (Noviembre) -,www.adolfoalsina.gov.ar,Rivadavia y Pellegrini - (6430) CARHUÉ,(02936) 43-0575 ,"Andrés, Javier ",-62.75999039,-37.1794832645
60014,Buenos Aires,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves,Municipio,No,No,  12.047 ,Adolfo Gonzales Chaves -  De La Garma -  Juan E. Barra -  Vásquez ,"390,6 KM","224,4 KM",Industrial,1,0,1,Aniversario de la Fundacióndel Partido de Adolfo Gonzáles Chaves (Agosto) - Fiesta de los Reyes Magos (Enero) - Aniversario de la Fundaciónde la Ciudad de Adolfo Gonzáles Cháves (Junio) - Fiesta del Asado Pampeano (Abril) -,www.gonzaleschaves.gob.ar,Juan Elicagaray y Mitre - (7513) ADOLFO GONZALES C,(02983) 48-4447,"Santillan, Marcelo",-60.0993919273,-38.0323707296
60021,Buenos Aires,Alberti,Alberti,Municipio,No,No,  10.654 ,Achupallas -  Alberti -  Coronel Seguí -  Mechita -  Pla -  Villa María -  Villa Ortiz          ,"205,7 KM","411,7 KM",Industrial,2,0,4,Fiesta de la Harina (Diciembre) - Aniversario de la Fundacióndel Partido de Alberti (Junio) - Semana de la Juventud (Septiembre) - Fiesta del Ferroviario (Marzo) -,www.alberti.gov.ar,Alem y 9 de Julio - (6634) ALBERTI,"(02346) 47-0215,(02346) 47-0034 ","Lago, Germán",-60.2802860162,-35.0315746234
60028,Buenos Aires,Almirante Brown,Almirante Brown,Municipio,No,Si,  552.902 ,Adrogué - Burzaco - Claypole - Don Orione - Glew - José Mármol - Longchamps - Malvinas Argentinas - Ministro Rivadavia - Rafael Calzada - San Francisco Solano - San José ,"36,5 KM","364,8 KM",Industrial,1,0,0,FICCAB - Festival de Cine Internacional de Almirante Brown (Noviembre) - Festival Star Wars (Octubre) - fundacion- Festival de la Cultura Latinoamericana (Abril) - Semana Browniana del Tango (Octubre) - Canta Brown (Diciembre) - Matsuri Festival Japonés (Marzo) - Expogranja y Fiesta Tradicionalista (Septiembre) - Freestyle (Septiembre) - Festejos Día de la Tradición (Noviembre) -,www.almirantebrown.gov.ar,Plaza Brown 250 - (1846) ADROGUÉ,"(011) 5034-9933,(011) 5034-9913","Fabiani, Juan José",-58.3884529299,-34.7973726761
60035,Buenos Aires,Avellaneda,Avellaneda ,Municipio,No,Si,  342.677 ,Área Reserva Cinturón Ecológico - Avellaneda - Crucesita - Dock Sud - Gerli - Piñeyro - Sarandí - Villa Domínico - Wilde         ,"43,3 KM","378,9 KM",Industrial,1,0,0,Aniversario de la Fundación del Partido de Avellaneda (Abril) - Encuentro Cervecero (Abril) -,www.mda.gob.ar,Güemes 835 - (1870) AVELLANEDA,"(011) 5227-7000 ,-","Ferraresi, Jorge ",-58.3627373528,-34.663829518
60042,Buenos Aires,Ayacucho,Ayacucho,Municipio,No,No,  20.337 ,Ayacucho -  La Constancia -  Solanet -  Udaquiola     ,"249,4 KM","126,4 KM",Industrial,0,0,2,Festival de Cine Rural (Agosto) - Aniversario del Partido de Ayacucho (Junio) - Exposición Ganadera (Junio) - Certamen Nacional de Canto (Marzo) - Fiesta Nacional del Ternero y Día de la Yerra (Marzo) - Fiesta del Asador (Noviembre) - Al Trabajador de mi pueblo (Octubre) - Fiesta de la Repostería Criolla (Septiembre) -,www.ayacucho.gob.ar,Alem 1048 - (7150) AYACUCHO,(02296) 45-9000 ,"Cordonnier, Emilio",-58.4883791745,-37.1527609909
60049,Buenos Aires,Azul,Azul,Municipio,No,No,  65.280 ,16 de Julio -  Ariel -  Azul -  Cacharí -  Chillar -  Parish    ,"262,9 KM","246,7 KM",Industrial,2,0,1,Encuentro Mototuristico de Semana Santa (Abril) - Aniversario de la Fundaciónde Azul (Diciembre) - Azul Rock (Diciembre) - Fiesta Nacional de la Miel (Junio) - Fiesta del Títere (Mayo) - Fiesta de las Colectividades (Noviembre) - Festival Cervantino (Octubre) - Fiesta del Chacarero y Encuentro Ganadero (Marzo) -,www.azul.gov.ar,Hipólito Irigoyen 424 - (7300) AZUL,(02281) 43-9500,"Bertellys, Federico",-59.8634430461,-36.7774470033
60056,Buenos Aires,Bahía Blanca,Bahía Blanca,Municipio,No,Si,  301.572 ,Bahía Blanca -  Cabildo -  General Daniel Cerri            ,"565,7 KM","420,8 KM",Industrial,1,0,0,"Aniversario de la Fundaciónde Bahía Blanca (Abril) - Fiesta Anual Tradicionalista (Abril) - Circuito de Reyes (Enero) - Jornadas Gardelianas (Junio) - Feria de la Producción, el Trabajo, el Comercio, y los Servicios del Sur Argentino (Marzo) - Festival Internacional de Artes Escénicas Bahía Teatro (Mayo) - Semana de la Gastronomía (Noviembre) - Encuentro de Estatuas Vivientes (Noviembre) - Fecilbba (Noviembre) - Exposición Nacional de Ganadería, Comercio e Industria (Octubre) - Encuentro Nacional de Artesanos (Octubre) - Festival de Cultura China (Septiembre) - Bafici Bahía (Septiembre) - Fiesta de la Comida Mediterránea (Octubre) - Fiesta Nacional del Camarón y el Langostino (Abril) -",www.bahiablanca.gov.ar,Alsina 65 - (8000) BAHÍA BLANCA,"(0291) 459-4000,(0291) 459-4050","Gay, Hector",-62.2727419997,-38.7227702774
60063,Buenos Aires,Balcarce,Balcarce,Municipio,No,No,  43.823 ,Balcarce -  Los Pinos -  Napaleofú -  Ramos Otero -  San Agustín -  Villa Laguna La Brava    ,"323,7 KM","65,1 KM",Industrial,2,0,1,Aniversario de la creación del Partido de Balcarce (Agosto) - Balcarce Folclóre (Enero) - Fiesta Nacional del Automovilismo (Febrero) - Fiesta Nacional del Postre de Balcarce (Julio) - Encuentro Salomónico (Junio) - Encuentro de Camiones (Octubre) - Aniversario de San Agustín (Mayo) -,www.balcarce.gob.ar,Av. del Valle y 16 - (7620) BALCARCE,"(02266) 42-2119 ,(02266) 42-4044","Reino, Esteban Andrés",-58.2554911691,-37.8463826226
60070,Buenos Aires,Baradero,Baradero,Municipio,No,No,  32.761 ,Baradero -  Irineo Portela -  Quebradas -  Santa Coloma -  Villa Alsina           ,185 KM,"499,3 KM",Industrial,2,0,1,"Día Nacional del Tango (Diciembre) - Festival Nacional de Música Popular Argentina (Febrero) - Aniversario de Baradero (Julio) - Rock en Baradero (Marzo) - Baradero Under Rock (Octubre) - Fiesta del Mate (Octubre) - Triatlon Baradero (Octubre) - Aniversario de ""El Resero"" - Fiesta de Doma y Folclóre (Octubre) - Festival de los Pueblos (Septiembre) - Aniversario de la Fundaciónde la Primera Colonia Agrícola del País (Febrero) - Fiesta del Guiso Carrero y el Pastel (Mayo) - Fiesta del Mondongo y la Torta frita (Mayo) - Fiesta del Locro y la Empanada (Julio) -",www.baradero.gob.ar,San Martín 905 - (2942) BARADERO,(03329) 48-2900,"Sanzio, Esteban ",-59.5022278344,-33.8070727747
60077,Buenos Aires,Arrecifes,Arrecifes,Municipio,No,No,  29.044 ,Arrecifes -  Todd -  Viña            ,"214,2 KM","495,2 KM",Industrial,0,0,3,Festival de la Estación (Febrero) - Arrecifes Rock (Julio) - Fiesta del Lechón Artesanal (Mayo) - Fiesta Provincial del Automovilismo- Arrecifes cuna de campeones (Octubre) - Gran Vuelta del Cicloturismo (Septiembre) - Fiesta del Buñuelo en Todd (Noviembre) -,arrecifes.gob.ar,R. Gutiérrez y Saavedra - (2740) ARRECIFES,(02478) 45-4822,"Olaeta, Javier",-60.1086915854,-34.0675149077
60084,Buenos Aires,Benito Juárez,Benito Juárez,Municipio,No,No,  20.239 ,Barker -  Benito Juárez -  López -  Tedín Uriburu -  Villa Cacique           ,"343,2 KM","202,4 KM",Industrial,1,0,1,Fiesta Anual Tradicionalista (Febrero) - Aniversario de la Fundacióndel Partido de Benito Juárez (Octubre) - Fiesta Provincial de la Frambuesa (Febrero) - Fiesta del Dulce Casero (Mayo) -,www.benitojuarez.gov.ar,Av. Mitre 42 - (7020) BENITO JUÁREZ,"(02292) 45-1400,(02292) 45-1404","Marini, Julio Cesar",-59.8048051838,-37.674284978
